 [2026-04-11T02:14:18.377Z] Bridge server on http://localhost:3000  (log: /home/mithun/Documents/inftok/browser-ai-mcp-bridge/backend/bridge.log)
[2026-04-11T02:14:38.391Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.396Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.778Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.846Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:38.895Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.000Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.113Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.200Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.218Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.261Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.262Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.270Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.302Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.648Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.677Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.941Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:39.969Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:40.269Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:40.324Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:40.430Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:40.508Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.364Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.379Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.407Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.408Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.409Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.458Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.524Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.579Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.687Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.966Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:41.996Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.040Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.178Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.307Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.327Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.336Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.351Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.461Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.552Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.671Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.717Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:42.822Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.284Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.373Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.475Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.557Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.887Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
[2026-04-11T02:14:43.946Z] [Browser:debug] (HTTP) [v2.3-DIRECT] Heartbeat (agentActive: false)
